trade_id,timestamp,client_id,partner_id,instrument,direction,trade_volume,currency,is_fraudulent,is_opposite_trade,is_bonus_abuse
T_0000076,2022-09-01 11:16:00,C_000633,P_0037,EURUSD,BUY,416404.16,Yen,False,False,False
T_0000077,2022-09-01 11:17:00,C_000627,P_0037,US100,SELL,65933.85,Yen,False,False,False
T_0000078,2022-09-01 11:21:00,C_000631,P_0037,AUDCAD,BUY,448369.98,Yen,False,False,False
T_0000079,2022-09-01 11:24:00,C_000628,P_0037,EURUSD,SELL,460650.65,Yen,False,False,False
T_0000080,2022-09-01 11:26:00,C_000635,P_0037,EURUSD,BUY,213260.38,Yen,False,False,False
T_0000081,2022-09-01 11:34:00,C_000050,P_0127,GBPJPY,BUY,15524.16,US Dollar,True,False,False
T_0000082,2022-09-01 11:05:03,C_001181,P_0145,GBPJPY,SELL,4353.79,UK Pound,True,True,False
T_0000083,2022-09-01 12:19:00,C_000007,P_0127,XAUUSD,BUY,16367.46,US Dollar,True,True,False
T_0000084,2022-09-01 06:23:02,C_001937,P_0178,EURUSD,SELL,45054.96,Saudi Riyal,True,True,False
T_0000085,2022-09-01 13:06:00,C_000525,P_0164,US100,SELL,35724.14,US Dollar,False,False,False
T_0000086,2022-09-01 13:18:00,C_000703,P_0015,EURUSD,BUY,3011.67,US Dollar,True,True,False
T_0000087,2022-09-01 13:33:00,C_000322,P_0098,USDJPY,SELL,1540.48,Euro,False,False,False
T_0000088,2022-09-01 13:37:00,C_001644,P_0155,EURUSD,SELL,0.02,US Dollar,False,False,False
T_0000089,2022-09-01 13:41:00,C_000315,P_0098,US100,BUY,219.72,Euro,False,False,False
T_0000090,2022-09-01 13:44:00,C_000319,P_0098,EURUSD,SELL,4046.71,Euro,False,False,False
T_0000091,2022-09-01 13:44:00,C_000321,P_0098,GBPJPY,SELL,2018.0,Euro,False,False,False
T_0000092,2022-09-01 13:46:00,C_000320,P_0098,XAUUSD,BUY,1005.24,Euro,False,False,False
T_0000093,2022-09-01 13:47:00,C_000318,P_0098,USDJPY,BUY,2191.96,Euro,False,False,False
T_0000094,2022-09-01 13:51:00,C_000325,P_0098,US100,SELL,2950.14,Euro,False,False,False
T_0000095,2022-09-01 13:54:00,C_000323,P_0098,BTCUSD,BUY,3297.67,Euro,False,False,False
T_0000096,2022-09-01 13:55:00,C_000314,P_0098,XAUUSD,SELL,2176.84,Euro,True,False,False
T_0000097,2022-09-01 13:56:00,C_000324,P_0098,EURUSD,BUY,333.65,Euro,False,False,False
T_0000098,2022-09-01 13:58:00,C_000316,P_0098,AUDCAD,BUY,1350.77,Euro,False,False,False
T_0000099,2022-09-01 14:00:00,C_000378,P_0096,BTCUSD,SELL,23.65,US Dollar,False,False,False
T_0000100,2022-09-01 15:10:00,C_001201,P_0184,BTCUSD,BUY,24.8,Canadian Dollar,False,False,False
T_0000101,2022-09-01 15:25:00,C_000245,P_0173,EURUSD,BUY,13315.35,Swiss Franc,True,True,False
T_0000102,2022-09-01 15:27:00,C_001907,P_0178,US100,SELL,30299.15,Saudi Riyal,True,False,False
T_0000103,2022-09-01 15:31:00,C_001567,P_0188,BTCUSD,BUY,1087.44,US Dollar,False,False,False
T_0000104,2022-09-01 15:31:00,C_000074,P_0038,XAUUSD,BUY,3800.15,US Dollar,False,False,False
T_0000105,2022-09-01 15:32:00,C_001569,P_0188,XAUUSD,SELL,4015.69,US Dollar,False,False,False
T_0000106,2022-09-01 15:25:03,C_000666,P_0173,EURUSD,SELL,13157.91,Swiss Franc,True,True,False
T_0000107,2022-09-01 15:33:00,C_001566,P_0188,XAUUSD,BUY,2793.92,US Dollar,False,False,False
T_0000108,2022-09-01 15:34:00,C_000083,P_0038,USDJPY,SELL,800.82,US Dollar,False,False,False
T_0000109,2022-09-01 15:34:00,C_000088,P_0038,BTCUSD,BUY,3833.17,US Dollar,False,False,False
T_0000110,2022-09-01 15:34:00,C_001571,P_0188,XAUUSD,BUY,3983.59,US Dollar,False,False,False
T_0000111,2022-09-01 15:34:00,C_001570,P_0188,GBPJPY,SELL,1689.6,US Dollar,False,False,False
T_0000112,2022-09-01 15:36:00,C_001568,P_0188,XAUUSD,BUY,3050.47,US Dollar,False,False,False
T_0000113,2022-09-01 15:36:00,C_000073,P_0038,AUDCAD,SELL,889.6,US Dollar,False,False,False
T_0000114,2022-09-01 15:37:00,C_001559,P_0188,GBPJPY,SELL,2653.85,US Dollar,False,False,False
T_0000115,2022-09-01 15:37:00,C_000078,P_0038,GBPJPY,SELL,351.09,US Dollar,False,False,False
T_0000116,2022-09-01 15:37:00,C_000011,P_0152,XAUUSD,BUY,98901.32,Mexican Peso,True,True,False
T_0000117,2022-09-01 15:38:00,C_001576,P_0188,AUDCAD,BUY,2124.45,US Dollar,False,False,False
T_0000118,2022-09-01 15:39:00,C_001557,P_0188,GBPJPY,BUY,491.89,US Dollar,False,False,False
T_0000119,2022-09-01 15:44:00,C_001574,P_0188,AUDCAD,SELL,491.5,US Dollar,False,False,False
T_0000120,2022-09-01 15:45:00,C_000076,P_0038,XAUUSD,SELL,4080.9,US Dollar,False,False,False
T_0000121,2022-09-01 15:47:00,C_000090,P_0038,AUDCAD,BUY,2514.14,US Dollar,False,False,False
T_0000122,2022-09-01 15:52:00,C_000069,P_0038,BTCUSD,SELL,2552.3,US Dollar,False,False,False
T_0000123,2022-09-01 15:53:00,C_001575,P_0188,BTCUSD,BUY,3693.58,US Dollar,False,False,False
T_0000124,2022-09-01 15:53:00,C_001572,P_0188,EURUSD,SELL,4292.24,US Dollar,False,False,False
T_0000125,2022-09-01 15:57:00,C_000082,P_0038,GBPJPY,BUY,876.95,US Dollar,False,False,False
T_0000126,2022-09-01 15:58:00,C_001558,P_0188,USDJPY,SELL,1449.66,US Dollar,False,False,False
T_0000127,2022-09-01 16:19:00,C_000510,P_0010,US100,BUY,1607.65,US Dollar,False,False,False
T_0000128,2022-09-01 16:37:00,C_000194,P_0057,XAUUSD,BUY,50.89,US Dollar,True,True,False
T_0000129,2022-09-01 17:04:00,C_002126,P_0142,EURUSD,SELL,1159.43,US Dollar,False,False,False
T_0000130,2022-09-01 17:08:00,C_002134,P_0142,AUDCAD,BUY,4563.74,US Dollar,False,False,False
T_0000131,2022-09-01 17:08:00,C_002124,P_0142,AUDCAD,BUY,3466.3,US Dollar,False,False,False
T_0000132,2022-09-01 17:12:00,C_002131,P_0142,USDJPY,SELL,4328.22,US Dollar,False,False,False
T_0000133,2022-09-01 17:12:00,C_002130,P_0142,AUDCAD,BUY,1564.35,US Dollar,False,False,False
T_0000134,2022-09-01 17:17:00,C_002136,P_0142,BTCUSD,BUY,898.21,US Dollar,False,False,False
T_0000135,2022-09-01 17:18:00,C_002122,P_0142,XAUUSD,BUY,958.73,US Dollar,False,False,False
T_0000136,2022-09-01 17:22:00,C_002123,P_0142,XAUUSD,SELL,1699.9,US Dollar,False,False,False
T_0000137,2022-09-01 17:25:00,C_000572,P_0173,XAUUSD,BUY,8430.98,Swiss Franc,True,True,False
T_0000138,2022-09-01 17:25:00,C_002132,P_0142,USDJPY,SELL,3635.19,US Dollar,False,False,False
T_0000139,2022-09-01 17:26:00,C_002129,P_0142,BTCUSD,BUY,1377.11,US Dollar,False,False,False
T_0000140,2022-09-01 17:26:00,C_002133,P_0142,XAUUSD,BUY,337.09,US Dollar,False,False,False
T_0000141,2022-09-01 17:28:00,C_002125,P_0142,US100,BUY,1982.93,US Dollar,False,False,False
T_0000142,2022-09-01 17:28:00,C_002135,P_0142,US100,SELL,4317.66,US Dollar,False,False,False
T_0000143,2022-09-01 17:29:00,C_002128,P_0142,US100,BUY,3382.06,US Dollar,False,False,False
T_0000144,2022-09-01 18:34:00,C_001715,P_0008,BTCUSD,BUY,3396.24,Swiss Franc,False,False,False
T_0000145,2022-09-01 18:34:00,C_000113,P_0198,AUDCAD,SELL,68.65,US Dollar,False,False,False
T_0000146,2022-09-01 18:40:00,C_001720,P_0008,GBPJPY,SELL,3554.22,Swiss Franc,False,False,False
T_0000147,2022-09-01 09:31:04,C_000960,P_0092,GBPJPY,SELL,7825.86,US Dollar,True,True,False
T_0000148,2022-09-01 18:44:00,C_001714,P_0008,XAUUSD,BUY,3405.47,Swiss Franc,False,False,False
T_0000149,2022-09-01 18:44:00,C_001712,P_0008,USDJPY,SELL,4126.33,Swiss Franc,False,False,False
T_0000150,2022-09-01 18:45:00,C_001713,P_0008,EURUSD,SELL,29177.07,Swiss Franc,False,False,False
T_0000151,2022-09-01 18:48:00,C_002127,P_0142,EURUSD,BUY,27767.91,US Dollar,False,False,False
T_0000152,2022-09-01 18:49:00,C_001711,P_0008,XAUUSD,SELL,2132.12,Swiss Franc,False,False,False
T_0000153,2022-09-01 18:50:00,C_001719,P_0008,US100,SELL,2867.13,Swiss Franc,False,False,False
T_0000154,2022-09-01 18:55:00,C_000113,P_0198,AUDCAD,BUY,1834.66,US Dollar,False,False,False
T_0000155,2022-09-01 18:56:00,C_001716,P_0008,EURUSD,SELL,1234.09,Swiss Franc,False,False,False
T_0000156,2022-09-01 19:11:00,C_001513,P_0145,EURUSD,BUY,6603.64,UK Pound,True,True,False
T_0000157,2022-09-01 19:20:00,C_001304,P_0092,XAUUSD,BUY,2876.57,US Dollar,True,True,False
T_0000158,2022-09-01 20:00:00,C_000820,P_0035,USDJPY,SELL,1527.25,US Dollar,False,False,False
T_0000159,2022-09-01 20:06:00,C_000814,P_0035,BTCUSD,SELL,3775.22,US Dollar,False,False,False
T_0000160,2022-09-01 20:06:00,C_000819,P_0035,BTCUSD,SELL,1685.05,US Dollar,False,False,False
T_0000161,2022-09-01 20:21:00,C_000821,P_0035,XAUUSD,BUY,1454.46,US Dollar,False,False,False
T_0000162,2022-09-01 20:25:00,C_000813,P_0035,GBPJPY,SELL,2364.57,US Dollar,False,False,False
T_0000163,2022-09-01 20:26:00,C_000818,P_0035,BTCUSD,SELL,263316.83,US Dollar,False,False,False
T_0000164,2022-09-01 20:51:00,C_001375,P_0113,XAUUSD,SELL,54898.41,Euro,False,False,False
T_0000165,2022-09-01 21:07:00,C_001995,P_0004,GBPJPY,BUY,21.24,Euro,False,False,False
T_0000166,2022-09-01 21:40:00,C_001266,P_0139,EURUSD,BUY,11.45,Euro,False,False,False
T_0000167,2022-09-01 22:32:00,C_001296,P_0014,EURUSD,SELL,2480.14,US Dollar,False,False,False
T_0000168,2022-09-01 22:39:00,C_001298,P_0014,XAUUSD,SELL,1137.97,US Dollar,False,False,False
T_0000169,2022-09-01 22:41:00,C_000132,P_0036,XAUUSD,SELL,20758.42,Euro,False,False,False
T_0000170,2022-09-01 22:42:00,C_001300,P_0014,US100,BUY,663.46,US Dollar,False,False,False
T_0000171,2022-09-01 22:45:00,C_001295,P_0014,BTCUSD,BUY,1670.01,US Dollar,False,False,False
T_0000172,2022-09-01 22:47:00,C_001293,P_0014,BTCUSD,SELL,2259.6,US Dollar,False,False,False
T_0000173,2022-09-01 22:50:00,C_001297,P_0014,GBPJPY,BUY,2170.09,US Dollar,False,False,False
T_0000174,2022-09-01 22:50:00,C_001294,P_0014,EURUSD,SELL,2725.45,US Dollar,False,False,False
T_0000175,2022-09-01 22:58:00,C_001299,P_0014,EURUSD,BUY,2052.05,US Dollar,False,False,False
T_0000176,2022-09-01 23:51:00,C_000006,P_0041,XAUUSD,BUY,5754.48,US Dollar,False,False,False
T_0000177,2022-09-02 00:02:00,C_000988,P_0046,BTCUSD,SELL,21874.61,Ruble,False,False,False
T_0000178,2022-09-02 00:19:00,C_000512,P_0056,GBPJPY,BUY,129.37,Euro,False,False,False
T_0000179,2022-09-02 00:19:00,C_001426,P_0155,USDJPY,SELL,161.11,US Dollar,False,False,False
T_0000180,2022-09-02 00:24:00,C_002112,P_0190,USDJPY,SELL,30.13,US Dollar,False,False,False
T_0000181,2022-09-02 00:26:00,C_001044,P_0164,USDJPY,SELL,8.42,US Dollar,False,False,False
T_0000182,2022-09-02 00:30:00,C_000678,P_0168,US100,BUY,38835.99,Yen,False,False,False
T_0000183,2022-09-02 00:39:00,C_001651,P_0166,US100,BUY,129.93,Swiss Franc,False,False,False
T_0000184,2022-09-02 00:43:00,C_001445,P_0155,AUDCAD,SELL,151.94,US Dollar,False,False,False
T_0000185,2022-09-02 00:47:00,C_000730,P_0165,XAUUSD,BUY,66374.29,Rupee,False,False,False
T_0000186,2022-09-02 00:53:00,C_001505,P_0155,XAUUSD,BUY,1235.37,US Dollar,False,False,False
T_0000187,2022-09-02 00:54:00,C_001999,P_0165,BTCUSD,BUY,5062.01,Rupee,False,False,False
T_0000188,2022-09-02 00:57:00,C_001060,P_0056,XAUUSD,SELL,384.47,Euro,False,False,False
T_0000189,2022-09-02 00:58:00,C_001901,P_0056,XAUUSD,BUY,133.1,Euro,False,False,False
T_0000190,2022-09-02 01:02:00,C_000885,P_0046,US100,BUY,575604.3,Ruble,False,False,False
T_0000191,2022-09-02 01:13:00,C_002046,P_0155,EURUSD,SELL,149.58,US Dollar,False,False,False
T_0000192,2022-09-02 01:24:00,C_000603,P_0155,EURUSD,BUY,453.49,US Dollar,False,False,False
T_0000193,2022-09-02 01:31:00,C_000414,P_0056,EURUSD,SELL,14.2,Euro,False,False,False
T_0000194,2022-09-02 01:32:00,C_001156,P_0044,XAUUSD,BUY,96680.89,Yuan,True,True,False
T_0000195,2022-09-02 01:39:00,C_002002,P_0178,XAUUSD,SELL,8117.8,Saudi Riyal,True,False,False
T_0000196,2022-09-02 01:52:00,C_002038,P_0056,BTCUSD,SELL,95.63,Euro,False,False,False
T_0000197,2022-09-02 01:53:00,C_001492,P_0168,GBPJPY,BUY,53695.03,Yen,False,False,False
T_0000198,2022-09-01 12:19:04,C_000031,P_0127,XAUUSD,SELL,16538.62,US Dollar,True,True,False
T_0000199,2022-09-02 01:59:00,C_002140,P_0155,XAUUSD,BUY,37.73,US Dollar,False,False,False
T_0000200,2022-09-02 02:20:00,C_000729,P_0056,AUDCAD,BUY,332.76,Euro,False,False,False
T_0000201,2022-09-02 02:36:00,C_001324,P_0116,US100,SELL,513.76,Australian Dollar,False,False,False
T_0000202,2022-09-02 02:56:00,C_000664,P_0007,XAUUSD,BUY,15305.3,US Dollar,True,True,False
T_0000203,2022-09-02 02:56:00,C_001386,P_0155,US100,SELL,680.35,US Dollar,False,False,False
T_0000204,2022-09-02 03:00:00,C_000235,P_0054,EURUSD,SELL,212.56,US Dollar,False,False,False
T_0000205,2022-09-02 03:05:00,C_001164,P_0027,USDJPY,SELL,525.76,Canadian Dollar,False,False,False
T_0000206,2022-09-02 03:08:00,C_000233,P_0054,GBPJPY,BUY,1929.85,US Dollar,False,False,False
T_0000207,2022-09-02 03:15:00,C_001561,P_0155,US100,BUY,194.64,US Dollar,False,False,False
T_0000208,2022-09-02 03:16:00,C_000239,P_0054,XAUUSD,SELL,953.51,US Dollar,False,False,False
T_0000209,2022-09-02 03:19:00,C_000237,P_0054,GBPJPY,BUY,2757.21,US Dollar,False,False,False
T_0000210,2022-09-02 03:24:00,C_000234,P_0054,USDJPY,SELL,3951.84,US Dollar,False,False,False
T_0000211,2022-09-02 03:26:00,C_000726,P_0129,AUDCAD,BUY,2517.3,US Dollar,True,True,False
T_0000212,2022-09-02 03:28:00,C_000236,P_0054,EURUSD,SELL,3597.59,US Dollar,False,False,False
T_0000213,2022-09-02 03:48:00,C_001149,P_0056,GBPJPY,SELL,174.69,Euro,False,False,False
T_0000214,2022-09-02 04:04:00,C_000782,P_0165,USDJPY,SELL,11676.04,Rupee,False,False,False
T_0000215,2022-09-02 04:06:00,C_000054,P_0127,GBPJPY,SELL,1869.72,US Dollar,True,False,False
T_0000216,2022-09-02 04:19:00,C_001607,P_0155,GBPJPY,SELL,99.44,US Dollar,False,False,False
T_0000217,2022-09-02 04:26:00,C_001666,P_0099,BTCUSD,BUY,1426.54,Yuan,False,False,False
T_0000218,2022-09-02 05:09:00,C_000694,P_0056,XAUUSD,BUY,82.61,Euro,False,False,False
T_0000219,2022-09-02 05:29:00,C_000425,P_0056,GBPJPY,SELL,686.91,Euro,False,False,False
T_0000220,2022-09-02 05:34:00,C_001450,P_0093,XAUUSD,SELL,854.7,US Dollar,False,False,False
T_0000221,2022-09-02 05:39:00,C_001776,P_0166,GBPJPY,SELL,55.17,Swiss Franc,False,False,False
T_0000222,2022-09-02 05:41:00,C_001451,P_0093,AUDCAD,SELL,3898.14,US Dollar,False,False,False
T_0000223,2022-09-02 05:42:00,C_001446,P_0155,XAUUSD,SELL,434.53,US Dollar,False,False,False
T_0000224,2022-09-02 05:43:00,C_001449,P_0093,GBPJPY,SELL,1688.28,US Dollar,False,False,False
T_0000225,2022-09-02 05:43:00,C_001812,P_0140,AUDCAD,SELL,175.11,Shekel,False,False,False
T_0000226,2022-09-02 05:43:00,C_000027,P_0126,EURUSD,BUY,8420.98,Euro,True,True,False
T_0000227,2022-09-02 05:47:00,C_001455,P_0093,AUDCAD,BUY,3744.1,US Dollar,False,False,False
T_0000228,2022-09-02 05:48:00,C_001453,P_0093,USDJPY,BUY,1270.84,US Dollar,False,False,False
T_0000229,2022-09-02 05:52:00,C_001448,P_0093,USDJPY,BUY,2576.81,US Dollar,False,False,False
T_0000230,2022-09-02 05:52:00,C_000497,P_0169,US100,SELL,138.49,US Dollar,False,False,False
T_0000231,2022-09-02 05:56:00,C_001452,P_0093,US100,BUY,1582.83,US Dollar,False,False,False
T_0000232,2022-09-02 01:32:02,C_000917,P_0044,XAUUSD,SELL,98334.38,Yuan,True,True,False
T_0000233,2022-09-02 06:10:00,C_000212,P_0155,GBPJPY,BUY,302.53,US Dollar,False,False,False
T_0000234,2022-09-02 06:17:00,C_000649,P_0095,AUDCAD,SELL,241.84,US Dollar,False,False,False
T_0000235,2022-09-02 06:18:00,C_001343,P_0116,USDJPY,SELL,3400.6,Australian Dollar,False,False,False
T_0000236,2022-09-02 06:18:00,C_002138,P_0155,XAUUSD,BUY,303.72,US Dollar,False,False,False
T_0000237,2022-09-02 06:36:00,C_001986,P_0178,USDJPY,BUY,72635.55,Saudi Riyal,True,True,False
T_0000238,2022-09-02 03:26:04,C_001009,P_0129,AUDCAD,SELL,2564.61,US Dollar,True,True,False
T_0000239,2022-09-02 06:44:00,C_001220,P_0155,USDJPY,SELL,425.23,US Dollar,False,False,False
T_0000240,2022-09-02 07:06:00,C_001466,P_0155,XAUUSD,SELL,605.03,US Dollar,False,False,False
T_0000241,2022-09-01 19:20:01,C_000564,P_0092,XAUUSD,SELL,2909.26,US Dollar,True,True,False
T_0000242,2022-09-02 07:19:00,C_001237,P_0116,AUDCAD,BUY,236.93,Australian Dollar,False,False,False
T_0000243,2022-09-01 17:25:01,C_001441,P_0173,XAUUSD,SELL,8270.16,Swiss Franc,True,True,False
T_0000244,2022-09-02 07:33:00,C_001833,P_0056,GBPJPY,BUY,742.38,Euro,False,False,False
T_0000245,2022-09-02 07:41:00,C_000424,P_0045,GBPJPY,BUY,60.31,US Dollar,False,False,False
T_0000246,2022-09-02 07:59:00,C_000424,P_0045,GBPJPY,BUY,145.77,US Dollar,True,True,False
T_0000247,2022-09-02 08:30:00,C_000850,P_0025,USDJPY,SELL,2084.03,US Dollar,False,False,False
T_0000248,2022-09-02 08:30:00,C_001389,P_0155,BTCUSD,SELL,99.47,US Dollar,False,False,False
T_0000249,2022-09-02 08:31:00,C_000985,P_0155,USDJPY,BUY,176.73,US Dollar,False,False,False
