commission_id,timestamp,partner_account_id,client_account_id,commission_amount,currency
CM_0000076,2022-09-01 12:16:00,P_0037,C_000633,20820.208,Yen
CM_0000077,2022-09-01 12:17:00,P_0037,C_000627,3296.692500000001,Yen
CM_0000078,2022-09-01 12:21:00,P_0037,C_000631,22418.499,Yen
CM_0000079,2022-09-01 12:24:00,P_0037,C_000628,23032.5325,Yen
CM_0000080,2022-09-01 12:26:00,P_0037,C_000635,10663.019,Yen
CM_0000081,2022-09-01 12:34:00,P_0127,C_000050,776.2080000000001,US Dollar
CM_0000082,2022-09-01 12:49:00,P_0145,C_001181,217.6895,UK Pound
CM_0000083,2022-09-01 13:19:00,P_0127,C_000007,818.373,US Dollar
CM_0000084,2022-09-01 14:00:00,P_0178,C_001937,2252.748,Saudi Riyal
CM_0000085,2022-09-01 14:06:00,P_0164,C_000525,1786.207,US Dollar
CM_0000086,2022-09-01 14:18:00,P_0015,C_000703,150.58350000000002,US Dollar
CM_0000087,2022-09-01 14:33:00,P_0098,C_000322,77.024,Euro
CM_0000088,2022-09-01 14:37:00,P_0155,C_001644,0.001,US Dollar
CM_0000089,2022-09-01 14:41:00,P_0098,C_000315,10.986,Euro
CM_0000090,2022-09-01 14:44:00,P_0098,C_000319,202.3355,Euro
CM_0000091,2022-09-01 14:44:00,P_0098,C_000321,100.9,Euro
CM_0000092,2022-09-01 14:46:00,P_0098,C_000320,50.262,Euro
CM_0000093,2022-09-01 14:47:00,P_0098,C_000318,109.598,Euro
CM_0000094,2022-09-01 14:51:00,P_0098,C_000325,147.507,Euro
CM_0000095,2022-09-01 14:54:00,P_0098,C_000323,164.88350000000003,Euro
CM_0000096,2022-09-01 14:55:00,P_0098,C_000314,108.842,Euro
CM_0000097,2022-09-01 14:56:00,P_0098,C_000324,16.6825,Euro
CM_0000098,2022-09-01 14:58:00,P_0098,C_000316,67.5385,Euro
CM_0000099,2022-09-01 15:00:00,P_0096,C_000378,1.1825,US Dollar
CM_0000100,2022-09-01 16:10:00,P_0184,C_001201,1.2400000000000002,Canadian Dollar
CM_0000101,2022-09-01 16:25:00,P_0173,C_000245,665.7675,Swiss Franc
CM_0000102,2022-09-01 16:27:00,P_0178,C_001907,1514.9575000000002,Saudi Riyal
CM_0000103,2022-09-01 16:31:00,P_0188,C_001567,54.37200000000001,US Dollar
CM_0000104,2022-09-01 16:31:00,P_0038,C_000074,190.0075,US Dollar
CM_0000105,2022-09-01 16:32:00,P_0188,C_001569,200.7845,US Dollar
CM_0000106,2022-09-01 16:32:00,P_0173,C_000666,657.8955000000001,Swiss Franc
CM_0000107,2022-09-01 16:33:00,P_0188,C_001566,139.696,US Dollar
CM_0000108,2022-09-01 16:34:00,P_0038,C_000083,40.041,US Dollar
CM_0000109,2022-09-01 16:34:00,P_0038,C_000088,191.6585,US Dollar
CM_0000110,2022-09-01 16:34:00,P_0188,C_001571,199.1795,US Dollar
CM_0000111,2022-09-01 16:34:00,P_0188,C_001570,84.48,US Dollar
CM_0000112,2022-09-01 16:36:00,P_0188,C_001568,152.52349999999998,US Dollar
CM_0000113,2022-09-01 16:36:00,P_0038,C_000073,44.48,US Dollar
CM_0000114,2022-09-01 16:37:00,P_0188,C_001559,132.6925,US Dollar
CM_0000115,2022-09-01 16:37:00,P_0038,C_000078,17.5545,US Dollar
CM_0000116,2022-09-01 16:37:00,P_0152,C_000011,4945.066000000001,Mexican Peso
CM_0000117,2022-09-01 16:38:00,P_0188,C_001576,106.2225,US Dollar
CM_0000118,2022-09-01 16:39:00,P_0188,C_001557,24.5945,US Dollar
CM_0000119,2022-09-01 16:44:00,P_0188,C_001574,24.575000000000003,US Dollar
CM_0000120,2022-09-01 16:45:00,P_0038,C_000076,204.045,US Dollar
CM_0000121,2022-09-01 16:47:00,P_0038,C_000090,125.707,US Dollar
CM_0000122,2022-09-01 16:52:00,P_0038,C_000069,127.615,US Dollar
CM_0000123,2022-09-01 16:53:00,P_0188,C_001575,184.679,US Dollar
CM_0000124,2022-09-01 16:53:00,P_0188,C_001572,214.612,US Dollar
CM_0000125,2022-09-01 16:57:00,P_0038,C_000082,43.8475,US Dollar
CM_0000126,2022-09-01 16:58:00,P_0188,C_001558,72.483,US Dollar
CM_0000127,2022-09-01 17:19:00,P_0010,C_000510,80.38250000000001,US Dollar
CM_0000128,2022-09-01 17:37:00,P_0057,C_000194,2.5445,US Dollar
CM_0000129,2022-09-01 18:04:00,P_0142,C_002126,57.971500000000006,US Dollar
CM_0000130,2022-09-01 18:08:00,P_0142,C_002134,228.187,US Dollar
CM_0000131,2022-09-01 18:08:00,P_0142,C_002124,173.31500000000003,US Dollar
CM_0000132,2022-09-01 18:12:00,P_0142,C_002131,216.41100000000003,US Dollar
CM_0000133,2022-09-01 18:12:00,P_0142,C_002130,78.2175,US Dollar
CM_0000134,2022-09-01 18:17:00,P_0142,C_002136,44.910500000000006,US Dollar
CM_0000135,2022-09-01 18:18:00,P_0142,C_002122,47.9365,US Dollar
CM_0000136,2022-09-01 18:22:00,P_0142,C_002123,84.995,US Dollar
CM_0000137,2022-09-01 18:25:00,P_0173,C_000572,421.549,Swiss Franc
CM_0000138,2022-09-01 18:25:00,P_0142,C_002132,181.7595,US Dollar
CM_0000139,2022-09-01 18:26:00,P_0142,C_002129,68.85549999999999,US Dollar
CM_0000140,2022-09-01 18:26:00,P_0142,C_002133,16.854499999999998,US Dollar
CM_0000141,2022-09-01 18:28:00,P_0142,C_002125,99.1465,US Dollar
CM_0000142,2022-09-01 18:28:00,P_0142,C_002135,215.883,US Dollar
CM_0000143,2022-09-01 18:29:00,P_0142,C_002128,169.103,US Dollar
CM_0000144,2022-09-01 19:34:00,P_0008,C_001715,169.812,Swiss Franc
CM_0000145,2022-09-01 19:34:00,P_0198,C_000113,3.432500000000001,US Dollar
CM_0000146,2022-09-01 19:40:00,P_0008,C_001720,177.711,Swiss Franc
CM_0000147,2022-09-01 19:40:00,P_0092,C_000960,391.293,US Dollar
CM_0000148,2022-09-01 19:44:00,P_0008,C_001714,170.2735,Swiss Franc
CM_0000149,2022-09-01 19:44:00,P_0008,C_001712,206.3165,Swiss Franc
CM_0000150,2022-09-01 19:45:00,P_0008,C_001713,1458.8535000000002,Swiss Franc
CM_0000151,2022-09-01 19:48:00,P_0142,C_002127,1388.3955,US Dollar
CM_0000152,2022-09-01 19:49:00,P_0008,C_001711,106.606,Swiss Franc
CM_0000153,2022-09-01 19:50:00,P_0008,C_001719,143.3565,Swiss Franc
CM_0000154,2022-09-01 19:55:00,P_0198,C_000113,91.733,US Dollar
CM_0000155,2022-09-01 19:56:00,P_0008,C_001716,61.7045,Swiss Franc
CM_0000156,2022-09-01 20:11:00,P_0145,C_001513,330.182,UK Pound
CM_0000157,2022-09-01 20:20:00,P_0092,C_001304,143.82850000000002,US Dollar
CM_0000158,2022-09-01 21:00:00,P_0035,C_000820,76.3625,US Dollar
CM_0000159,2022-09-01 21:06:00,P_0035,C_000814,188.761,US Dollar
CM_0000160,2022-09-01 21:06:00,P_0035,C_000819,84.2525,US Dollar
CM_0000161,2022-09-01 21:21:00,P_0035,C_000821,72.723,US Dollar
CM_0000162,2022-09-01 21:25:00,P_0035,C_000813,118.2285,US Dollar
CM_0000163,2022-09-01 21:26:00,P_0035,C_000818,13165.841500000002,US Dollar
CM_0000164,2022-09-01 21:51:00,P_0113,C_001375,2744.9205,Euro
CM_0000165,2022-09-01 22:07:00,P_0004,C_001995,1.062,Euro
CM_0000166,2022-09-01 22:40:00,P_0139,C_001266,0.5725,Euro
CM_0000167,2022-09-01 23:32:00,P_0014,C_001296,124.007,US Dollar
CM_0000168,2022-09-01 23:39:00,P_0014,C_001298,56.898500000000006,US Dollar
CM_0000169,2022-09-01 23:41:00,P_0036,C_000132,1037.921,Euro
CM_0000170,2022-09-01 23:42:00,P_0014,C_001300,33.173,US Dollar
CM_0000171,2022-09-01 23:45:00,P_0014,C_001295,83.5005,US Dollar
CM_0000172,2022-09-01 23:47:00,P_0014,C_001293,112.98,US Dollar
CM_0000173,2022-09-01 23:50:00,P_0014,C_001297,108.5045,US Dollar
CM_0000174,2022-09-01 23:50:00,P_0014,C_001294,136.2725,US Dollar
CM_0000175,2022-09-01 23:58:00,P_0014,C_001299,102.60250000000002,US Dollar
CM_0000176,2022-09-02 00:51:00,P_0041,C_000006,287.724,US Dollar
CM_0000177,2022-09-02 01:02:00,P_0046,C_000988,1093.7305,Ruble
CM_0000178,2022-09-02 01:19:00,P_0056,C_000512,6.468500000000001,Euro
CM_0000179,2022-09-02 01:19:00,P_0155,C_001426,8.0555,US Dollar
CM_0000180,2022-09-02 01:24:00,P_0190,C_002112,1.5065,US Dollar
CM_0000181,2022-09-02 01:26:00,P_0164,C_001044,0.421,US Dollar
CM_0000182,2022-09-02 01:30:00,P_0168,C_000678,1941.7995,Yen
CM_0000183,2022-09-02 01:39:00,P_0166,C_001651,6.496500000000001,Swiss Franc
CM_0000184,2022-09-02 01:43:00,P_0155,C_001445,7.597,US Dollar
CM_0000185,2022-09-02 01:47:00,P_0165,C_000730,3318.7145,Rupee
CM_0000186,2022-09-02 01:53:00,P_0155,C_001505,61.7685,US Dollar
CM_0000187,2022-09-02 01:54:00,P_0165,C_001999,253.1005,Rupee
CM_0000188,2022-09-02 01:57:00,P_0056,C_001060,19.2235,Euro
CM_0000189,2022-09-02 01:58:00,P_0056,C_001901,6.655,Euro
CM_0000190,2022-09-02 02:02:00,P_0046,C_000885,28780.215000000004,Ruble
CM_0000191,2022-09-02 02:13:00,P_0155,C_002046,7.479000000000001,US Dollar
CM_0000192,2022-09-02 02:24:00,P_0155,C_000603,22.6745,US Dollar
CM_0000193,2022-09-02 02:31:00,P_0056,C_000414,0.71,Euro
CM_0000194,2022-09-02 02:32:00,P_0044,C_001156,4834.0445,Yuan
CM_0000195,2022-09-02 02:39:00,P_0178,C_002002,405.89,Saudi Riyal
CM_0000196,2022-09-02 02:52:00,P_0056,C_002038,4.7815,Euro
CM_0000197,2022-09-02 02:53:00,P_0168,C_001492,2684.7515000000003,Yen
CM_0000198,2022-09-02 02:56:00,P_0127,C_000031,826.931,US Dollar
CM_0000199,2022-09-02 02:59:00,P_0155,C_002140,1.8865,US Dollar
CM_0000200,2022-09-02 03:20:00,P_0056,C_000729,16.638,Euro
CM_0000201,2022-09-02 03:36:00,P_0116,C_001324,25.688,Australian Dollar
CM_0000202,2022-09-02 03:56:00,P_0007,C_000664,765.265,US Dollar
CM_0000203,2022-09-02 03:56:00,P_0155,C_001386,34.017500000000005,US Dollar
CM_0000204,2022-09-02 04:00:00,P_0054,C_000235,10.628,US Dollar
CM_0000205,2022-09-02 04:05:00,P_0027,C_001164,26.288,Canadian Dollar
CM_0000206,2022-09-02 04:08:00,P_0054,C_000233,96.4925,US Dollar
CM_0000207,2022-09-02 04:15:00,P_0155,C_001561,9.732,US Dollar
CM_0000208,2022-09-02 04:16:00,P_0054,C_000239,47.6755,US Dollar
CM_0000209,2022-09-02 04:19:00,P_0054,C_000237,137.8605,US Dollar
CM_0000210,2022-09-02 04:24:00,P_0054,C_000234,197.592,US Dollar
CM_0000211,2022-09-02 04:26:00,P_0129,C_000726,125.865,US Dollar
CM_0000212,2022-09-02 04:28:00,P_0054,C_000236,179.8795,US Dollar
CM_0000213,2022-09-02 04:48:00,P_0056,C_001149,8.7345,Euro
CM_0000214,2022-09-02 05:04:00,P_0165,C_000782,583.802,Rupee
CM_0000215,2022-09-02 05:06:00,P_0127,C_000054,93.486,US Dollar
CM_0000216,2022-09-02 05:19:00,P_0155,C_001607,4.972,US Dollar
CM_0000217,2022-09-02 05:26:00,P_0099,C_001666,71.327,Yuan
CM_0000218,2022-09-02 06:09:00,P_0056,C_000694,4.1305000000000005,Euro
CM_0000219,2022-09-02 06:29:00,P_0056,C_000425,34.3455,Euro
CM_0000220,2022-09-02 06:34:00,P_0093,C_001450,42.73500000000001,US Dollar
CM_0000221,2022-09-02 06:39:00,P_0166,C_001776,2.7585,Swiss Franc
CM_0000222,2022-09-02 06:41:00,P_0093,C_001451,194.907,US Dollar
CM_0000223,2022-09-02 06:42:00,P_0155,C_001446,21.7265,US Dollar
CM_0000224,2022-09-02 06:43:00,P_0093,C_001449,84.414,US Dollar
CM_0000225,2022-09-02 06:43:00,P_0140,C_001812,8.755500000000001,Shekel
CM_0000226,2022-09-02 06:43:00,P_0126,C_000027,421.049,Euro
CM_0000227,2022-09-02 06:47:00,P_0093,C_001455,187.205,US Dollar
CM_0000228,2022-09-02 06:48:00,P_0093,C_001453,63.542,US Dollar
CM_0000229,2022-09-02 06:52:00,P_0093,C_001448,128.8405,US Dollar
CM_0000230,2022-09-02 06:52:00,P_0169,C_000497,6.924500000000001,US Dollar
CM_0000231,2022-09-02 06:56:00,P_0093,C_001452,79.14150000000001,US Dollar
CM_0000232,2022-09-02 07:00:00,P_0044,C_000917,4916.719000000001,Yuan
CM_0000233,2022-09-02 07:10:00,P_0155,C_000212,15.1265,US Dollar
CM_0000234,2022-09-02 07:17:00,P_0095,C_000649,12.092,US Dollar
CM_0000235,2022-09-02 07:18:00,P_0116,C_001343,170.03,Australian Dollar
CM_0000236,2022-09-02 07:18:00,P_0155,C_002138,15.186000000000002,US Dollar
CM_0000237,2022-09-02 07:36:00,P_0178,C_001986,3631.7775,Saudi Riyal
CM_0000238,2022-09-02 07:43:00,P_0129,C_001009,128.2305,US Dollar
CM_0000239,2022-09-02 07:44:00,P_0155,C_001220,21.2615,US Dollar
CM_0000240,2022-09-02 08:06:00,P_0155,C_001466,30.2515,US Dollar
CM_0000241,2022-09-02 08:13:00,P_0092,C_000564,145.46300000000002,US Dollar
CM_0000242,2022-09-02 08:19:00,P_0116,C_001237,11.8465,Australian Dollar
CM_0000243,2022-09-02 08:29:00,P_0173,C_001441,413.508,Swiss Franc
CM_0000244,2022-09-02 08:33:00,P_0056,C_001833,37.119,Euro
CM_0000245,2022-09-02 08:41:00,P_0045,C_000424,3.0155000000000003,US Dollar
CM_0000246,2022-09-02 08:59:00,P_0045,C_000424,7.288500000000001,US Dollar
CM_0000247,2022-09-02 09:30:00,P_0025,C_000850,104.2015,US Dollar
CM_0000248,2022-09-02 09:30:00,P_0155,C_001389,4.9735000000000005,US Dollar
CM_0000249,2022-09-02 09:31:00,P_0155,C_000985,8.8365,US Dollar
CM_0000250,2022-09-02 09:34:00,P_0025,C_000860,113.84300000000002,US Dollar
CM_0000251,2022-09-02 09:34:00,P_0025,C_000864,136.5495,US Dollar
CM_0000252,2022-09-02 09:42:00,P_0025,C_000856,172.836,US Dollar
CM_0000253,2022-09-02 09:51:00,P_0025,C_000855,176.0865,US Dollar
CM_0000254,2022-09-02 09:52:00,P_0025,C_000863,147.712,US Dollar
CM_0000255,2022-09-02 09:52:00,P_0025,C_000854,90.168,US Dollar
CM_0000256,2022-09-02 09:58:00,P_0056,C_001157,8.803,Euro
CM_0000257,2022-09-02 10:29:00,P_0155,C_001857,21.416,US Dollar
CM_0000258,2022-09-02 10:40:00,P_0155,C_001232,7.041,US Dollar
CM_0000259,2022-09-02 10:43:00,P_0056,C_002092,13.1465,Euro
CM_0000260,2022-09-02 10:57:00,P_0178,C_002004,3573.513,Saudi Riyal
CM_0000261,2022-09-02 11:17:00,P_0155,C_001131,5.0295000000000005,US Dollar
CM_0000262,2022-09-02 11:24:00,P_0166,C_001752,8.409,Swiss Franc
CM_0000263,2022-09-02 11:33:00,P_0056,C_001048,160.7735,Euro
CM_0000264,2022-09-02 11:37:00,P_0114,C_000001,404.6,US Dollar
CM_0000265,2022-09-02 11:55:00,P_0056,C_002045,4.8165,Euro
CM_0000266,2022-09-02 11:56:00,P_0056,C_001464,2.032,Euro
CM_0000267,2022-09-02 12:02:00,P_0155,C_001153,21.633000000000003,US Dollar
CM_0000268,2022-09-02 12:20:00,P_0155,C_000506,13.036500000000002,US Dollar
CM_0000269,2022-09-02 12:25:00,P_0155,C_001325,20.066000000000003,US Dollar
CM_0000270,2022-09-02 12:43:00,P_0166,C_001773,2.696,Swiss Franc
CM_0000271,2022-09-02 12:46:00,P_0027,C_001159,24.962000000000003,Canadian Dollar
CM_0000272,2022-09-02 12:49:00,P_0056,C_001685,9.3085,Euro
CM_0000273,2022-09-02 12:58:00,P_0099,C_001278,32.851,Yuan
CM_0000274,2022-09-02 13:04:00,P_0044,C_001975,3816.586,Yuan
CM_0000275,2022-09-02 13:05:00,P_0155,C_001477,33.8885,US Dollar
CM_0000276,2022-09-02 13:07:00,P_0056,C_001508,28.56,Euro
CM_0000277,2022-09-02 13:09:00,P_0155,C_000449,30.664,US Dollar
CM_0000278,2022-09-02 13:15:00,P_0129,C_000921,299.522,US Dollar
CM_0000279,2022-09-02 13:16:00,P_0027,C_001200,28.976,Canadian Dollar
CM_0000280,2022-09-02 13:16:00,P_0046,C_000883,1334.4255,Ruble
CM_0000281,2022-09-02 13:47:00,P_0155,C_002078,24.9505,US Dollar
CM_0000282,2022-09-02 13:55:00,P_0127,C_000030,253.6505,US Dollar
CM_0000283,2022-09-02 14:13:00,P_0178,C_002005,574.7965,Saudi Riyal
CM_0000284,2022-09-02 14:23:00,P_0056,C_000922,21.5745,Euro
CM_0000285,2022-09-02 14:24:00,P_0056,C_001834,6.671500000000001,Euro
CM_0000286,2022-09-02 14:50:00,P_0168,C_000576,1077.9015,Yen
CM_0000287,2022-09-02 14:51:00,P_0155,C_000827,15.1285,US Dollar
CM_0000288,2022-09-02 14:52:00,P_0166,C_001777,8.8395,Swiss Franc
CM_0000289,2022-09-02 14:52:00,P_0168,C_001177,1459.2445,Yen
CM_0000290,2022-09-02 14:58:00,P_0164,C_000874,5.761,US Dollar
CM_0000291,2022-09-02 15:02:00,P_0056,C_000340,18.7005,Euro
CM_0000292,2022-09-02 15:09:00,P_0182,C_000057,29912.844,Euro
CM_0000293,2022-09-02 15:13:00,P_0127,C_000025,802.532,US Dollar
CM_0000294,2022-09-02 15:20:00,P_0140,C_001795,101.187,Shekel
CM_0000295,2022-09-02 15:21:00,P_0155,C_002090,7.138,US Dollar
CM_0000296,2022-09-02 15:25:00,P_0182,C_000057,628.5705,Euro
CM_0000297,2022-09-02 15:27:00,P_0166,C_001790,19.3245,Swiss Franc
CM_0000298,2022-09-02 15:34:00,P_0155,C_000702,9.6035,US Dollar
CM_0000299,2022-09-02 15:40:00,P_0065,C_000784,282.24,Rupee
CM_0000300,2022-09-02 15:52:00,P_0166,C_001677,7.913,Swiss Franc
CM_0000301,2022-09-02 16:07:00,P_0102,C_001393,52.66900000000001,Euro
CM_0000302,2022-09-02 16:09:00,P_0155,C_000201,52.428,US Dollar
CM_0000303,2022-09-02 16:11:00,P_0145,C_000138,325.6315,UK Pound
CM_0000304,2022-09-02 16:11:00,P_0102,C_001394,195.4895,Euro
CM_0000305,2022-09-02 16:14:00,P_0102,C_001395,177.40550000000002,Euro
CM_0000306,2022-09-02 16:15:00,P_0168,C_000687,1454.5405,Yen
CM_0000307,2022-09-02 16:17:00,P_0102,C_001398,141.101,Euro
CM_0000308,2022-09-02 16:17:00,P_0102,C_001396,76.635,Euro
CM_0000309,2022-09-02 16:22:00,P_0102,C_001397,21.3135,Euro
CM_0000310,2022-09-02 16:25:00,P_0102,C_001399,39.4425,Euro
CM_0000311,2022-09-02 16:26:00,P_0102,C_001392,79.308,Euro
CM_0000312,2022-09-02 16:33:00,P_0139,C_001264,6.1275,Euro
CM_0000313,2022-09-02 16:37:00,P_0139,C_001263,106.6705,Euro
CM_0000314,2022-09-02 16:38:00,P_0139,C_001258,59.512,Euro
CM_0000315,2022-09-02 16:41:00,P_0139,C_001262,64.3645,Euro
CM_0000316,2022-09-02 16:42:00,P_0056,C_002091,6.3355,Euro
CM_0000317,2022-09-02 16:44:00,P_0173,C_001463,167.72500000000002,Swiss Franc
CM_0000318,2022-09-02 16:48:00,P_0155,C_001852,6.647,US Dollar
CM_0000319,2022-09-02 16:55:00,P_0139,C_001265,39.6145,Euro
CM_0000320,2022-09-02 16:56:00,P_0155,C_001778,1.4585,US Dollar
CM_0000321,2022-09-02 16:58:00,P_0139,C_001260,9.3505,Euro
CM_0000322,2022-09-02 17:03:00,P_0165,C_000875,2773.4330000000004,Rupee
CM_0000323,2022-09-02 17:06:00,P_0155,C_001796,2.234,US Dollar
CM_0000324,2022-09-02 17:32:00,P_0027,C_001172,4.214,Canadian Dollar
CM_0000325,2022-09-02 17:33:00,P_0026,C_002057,77.87100000000001,US Dollar
CM_0000326,2022-09-02 17:34:00,P_0026,C_002052,5.493500000000001,US Dollar
CM_0000327,2022-09-02 17:35:00,P_0155,C_001150,2.6235,US Dollar
CM_0000328,2022-09-02 17:38:00,P_0155,C_002137,7.426000000000001,US Dollar
CM_0000329,2022-09-02 17:38:00,P_0155,C_000977,2.507,US Dollar
CM_0000330,2022-09-02 17:42:00,P_0026,C_002055,216.29050000000004,US Dollar
CM_0000331,2022-09-02 17:43:00,P_0026,C_002062,136.206,US Dollar
CM_0000332,2022-09-02 17:43:00,P_0026,C_002064,198.8315,US Dollar
CM_0000333,2022-09-02 17:44:00,P_0155,C_000123,6.7250000000000005,US Dollar
CM_0000334,2022-09-02 17:46:00,P_0026,C_002066,188.29200000000003,US Dollar
CM_0000335,2022-09-02 17:47:00,P_0072,C_000003,55.529,Euro
CM_0000336,2022-09-02 17:48:00,P_0166,C_001753,15.788,Swiss Franc
CM_0000337,2022-09-02 17:51:00,P_0026,C_002056,80.12700000000001,US Dollar
CM_0000338,2022-09-02 17:57:00,P_0092,C_000636,687.671,US Dollar
CM_0000339,2022-09-02 17:57:00,P_0026,C_002048,187.063,US Dollar
