trade_id,timestamp,client_account_id,instrument,direction,trade_volume,is_opposite_trade,is_bonus_abuse
T_0000043,2022-09-01 09:08:00,C_001626,GBPJPY,BUY,4367.83,False,False
T_0000044,2022-09-01 09:11:00,C_001623,US100,BUY,4046.91,False,False
T_0000045,2022-09-01 09:14:00,C_001624,USDJPY,SELL,3696.84,False,False
T_0000046,2022-09-01 09:14:00,C_001625,AUDCAD,SELL,2912.2,False,False
T_0000047,2022-09-01 09:18:00,C_001621,BTCUSD,SELL,2722.38,False,False
T_0000048,2022-09-01 09:18:00,C_001622,AUDCAD,SELL,4913.16,False,False
T_0000049,2022-09-01 09:20:00,C_000953,GBPJPY,BUY,5.79,False,False
T_0000050,2022-09-01 09:31:00,C_001405,GBPJPY,BUY,7678.43,True,False
T_0000051,2022-09-01 09:31:00,C_001178,BTCUSD,BUY,0.02,False,False
T_0000052,2022-09-01 09:54:00,C_000148,USDJPY,SELL,43.32,False,False
T_0000053,2022-09-01 10:03:00,C_001121,US100,SELL,1518.56,False,False
T_0000054,2022-09-01 10:04:00,C_000027,EURUSD,BUY,2295.57,False,False
T_0000055,2022-09-01 10:12:00,C_001119,US100,SELL,1799.12,False,False
T_0000056,2022-09-01 10:23:00,C_000027,USDJPY,SELL,4178.53,False,False
T_0000057,2022-09-01 10:24:00,C_001123,BTCUSD,SELL,893.79,False,False
T_0000058,2022-09-01 10:24:00,C_001122,US100,SELL,4412.34,False,False
T_0000059,2022-09-01 10:25:00,C_001116,EURUSD,BUY,1696.87,False,False
T_0000060,2022-09-01 10:28:00,C_001120,AUDCAD,BUY,1401.94,False,False
T_0000061,2022-09-01 10:29:00,C_001118,US100,SELL,3790.09,False,False
T_0000062,2022-09-01 10:30:00,C_000756,AUDCAD,SELL,2085.04,False,False
T_0000063,2022-09-01 10:34:00,C_000839,USDJPY,BUY,4.98,False,False
T_0000064,2022-09-01 10:38:00,C_000762,BTCUSD,BUY,637.12,False,False
T_0000065,2022-09-01 10:46:00,C_000759,AUDCAD,SELL,741.26,False,False
T_0000066,2022-09-01 10:48:00,C_000754,EURUSD,SELL,2430.02,False,False
T_0000067,2022-09-01 10:50:00,C_000755,XAUUSD,BUY,2285.26,False,False
T_0000068,2022-09-01 10:50:00,C_000760,EURUSD,SELL,1756.79,False,False
T_0000069,2022-09-01 10:54:00,C_000758,GBPJPY,BUY,4430.32,False,False
T_0000070,2022-09-01 10:54:00,C_000761,USDJPY,BUY,723.11,False,False
T_0000071,2022-09-01 11:00:00,C_000740,AUDCAD,BUY,20798.61,True,False
T_0000072,2022-09-01 11:00:00,C_000634,GBPJPY,BUY,422169.38,False,False
T_0000073,2022-09-01 11:04:00,C_000630,AUDCAD,SELL,115788.37,False,False
T_0000074,2022-09-01 11:05:00,C_001522,GBPJPY,BUY,4389.01,True,False
T_0000075,2022-09-01 11:16:00,C_000632,US100,SELL,431934.86,False,False
T_0000076,2022-09-01 11:16:00,C_000633,EURUSD,BUY,416404.16,False,False
T_0000077,2022-09-01 11:17:00,C_000627,US100,SELL,65933.85,False,False
T_0000078,2022-09-01 11:21:00,C_000631,AUDCAD,BUY,448369.98,False,False
T_0000079,2022-09-01 11:24:00,C_000628,EURUSD,SELL,460650.65,False,False
T_0000080,2022-09-01 11:26:00,C_000635,EURUSD,BUY,213260.38,False,False
T_0000081,2022-09-01 11:34:00,C_000050,GBPJPY,BUY,15524.16,False,False
T_0000082,2022-09-01 11:05:03,C_001181,GBPJPY,SELL,4353.79,True,False
T_0000083,2022-09-01 12:19:00,C_000007,XAUUSD,BUY,16367.46,True,False
T_0000084,2022-09-01 06:23:02,C_001937,EURUSD,SELL,45054.96,True,False
T_0000085,2022-09-01 13:06:00,C_000525,US100,SELL,35724.14,False,False
T_0000086,2022-09-01 13:18:00,C_000703,EURUSD,BUY,3011.67,True,False
T_0000087,2022-09-01 13:33:00,C_000322,USDJPY,SELL,1540.48,False,False
T_0000088,2022-09-01 13:37:00,C_001644,EURUSD,SELL,0.02,False,False
T_0000089,2022-09-01 13:41:00,C_000315,US100,BUY,219.72,False,False
T_0000090,2022-09-01 13:44:00,C_000319,EURUSD,SELL,4046.71,False,False
T_0000091,2022-09-01 13:44:00,C_000321,GBPJPY,SELL,2018.0,False,False
T_0000092,2022-09-01 13:46:00,C_000320,XAUUSD,BUY,1005.24,False,False
T_0000093,2022-09-01 13:47:00,C_000318,USDJPY,BUY,2191.96,False,False
T_0000094,2022-09-01 13:51:00,C_000325,US100,SELL,2950.14,False,False
T_0000095,2022-09-01 13:54:00,C_000323,BTCUSD,BUY,3297.67,False,False
T_0000096,2022-09-01 13:55:00,C_000314,XAUUSD,SELL,2176.84,False,False
T_0000097,2022-09-01 13:56:00,C_000324,EURUSD,BUY,333.65,False,False
T_0000098,2022-09-01 13:58:00,C_000316,AUDCAD,BUY,1350.77,False,False
T_0000099,2022-09-01 14:00:00,C_000378,BTCUSD,SELL,23.65,False,False
T_0000100,2022-09-01 15:10:00,C_001201,BTCUSD,BUY,24.8,False,False
T_0000101,2022-09-01 15:25:00,C_000245,EURUSD,BUY,13315.35,True,False
T_0000102,2022-09-01 15:27:00,C_001907,US100,SELL,30299.15,False,False
T_0000103,2022-09-01 15:31:00,C_001567,BTCUSD,BUY,1087.44,False,False
T_0000104,2022-09-01 15:31:00,C_000074,XAUUSD,BUY,3800.15,False,False
T_0000105,2022-09-01 15:32:00,C_001569,XAUUSD,SELL,4015.69,False,False
T_0000106,2022-09-01 15:25:03,C_000666,EURUSD,SELL,13157.91,True,False
T_0000107,2022-09-01 15:33:00,C_001566,XAUUSD,BUY,2793.92,False,False
T_0000108,2022-09-01 15:34:00,C_000083,USDJPY,SELL,800.82,False,False
T_0000109,2022-09-01 15:34:00,C_000088,BTCUSD,BUY,3833.17,False,False
T_0000110,2022-09-01 15:34:00,C_001571,XAUUSD,BUY,3983.59,False,False
T_0000111,2022-09-01 15:34:00,C_001570,GBPJPY,SELL,1689.6,False,False
T_0000112,2022-09-01 15:36:00,C_001568,XAUUSD,BUY,3050.47,False,False
T_0000113,2022-09-01 15:36:00,C_000073,AUDCAD,SELL,889.6,False,False
T_0000114,2022-09-01 15:37:00,C_001559,GBPJPY,SELL,2653.85,False,False
T_0000115,2022-09-01 15:37:00,C_000078,GBPJPY,SELL,351.09,False,False
T_0000116,2022-09-01 15:37:00,C_000011,XAUUSD,BUY,98901.32,True,False
T_0000117,2022-09-01 15:38:00,C_001576,AUDCAD,BUY,2124.45,False,False
T_0000118,2022-09-01 15:39:00,C_001557,GBPJPY,BUY,491.89,False,False
T_0000119,2022-09-01 15:44:00,C_001574,AUDCAD,SELL,491.5,False,False
T_0000120,2022-09-01 15:45:00,C_000076,XAUUSD,SELL,4080.9,False,False
T_0000121,2022-09-01 15:47:00,C_000090,AUDCAD,BUY,2514.14,False,False
T_0000122,2022-09-01 15:52:00,C_000069,BTCUSD,SELL,2552.3,False,False
T_0000123,2022-09-01 15:53:00,C_001575,BTCUSD,BUY,3693.58,False,False
T_0000124,2022-09-01 15:53:00,C_001572,EURUSD,SELL,4292.24,False,False
T_0000125,2022-09-01 15:57:00,C_000082,GBPJPY,BUY,876.95,False,False
T_0000126,2022-09-01 15:58:00,C_001558,USDJPY,SELL,1449.66,False,False
T_0000127,2022-09-01 16:19:00,C_000510,US100,BUY,1607.65,False,False
T_0000128,2022-09-01 16:37:00,C_000194,XAUUSD,BUY,50.89,True,False
T_0000129,2022-09-01 17:04:00,C_002126,EURUSD,SELL,1159.43,False,False
T_0000130,2022-09-01 17:08:00,C_002134,AUDCAD,BUY,4563.74,False,False
T_0000131,2022-09-01 17:08:00,C_002124,AUDCAD,BUY,3466.3,False,False
T_0000132,2022-09-01 17:12:00,C_002131,USDJPY,SELL,4328.22,False,False
T_0000133,2022-09-01 17:12:00,C_002130,AUDCAD,BUY,1564.35,False,False
T_0000134,2022-09-01 17:17:00,C_002136,BTCUSD,BUY,898.21,False,False
T_0000135,2022-09-01 17:18:00,C_002122,XAUUSD,BUY,958.73,False,False
T_0000136,2022-09-01 17:22:00,C_002123,XAUUSD,SELL,1699.9,False,False
T_0000137,2022-09-01 17:25:00,C_000572,XAUUSD,BUY,8430.98,True,False
T_0000138,2022-09-01 17:25:00,C_002132,USDJPY,SELL,3635.19,False,False
T_0000139,2022-09-01 17:26:00,C_002129,BTCUSD,BUY,1377.11,False,False
T_0000140,2022-09-01 17:26:00,C_002133,XAUUSD,BUY,337.09,False,False
T_0000141,2022-09-01 17:28:00,C_002125,US100,BUY,1982.93,False,False
T_0000142,2022-09-01 17:28:00,C_002135,US100,SELL,4317.66,False,False
T_0000143,2022-09-01 17:29:00,C_002128,US100,BUY,3382.06,False,False
T_0000144,2022-09-01 18:34:00,C_001715,BTCUSD,BUY,3396.24,False,False
T_0000145,2022-09-01 18:34:00,C_000113,AUDCAD,SELL,68.65,False,False
T_0000146,2022-09-01 18:40:00,C_001720,GBPJPY,SELL,3554.22,False,False
T_0000147,2022-09-01 09:31:04,C_000960,GBPJPY,SELL,7825.86,True,False
T_0000148,2022-09-01 18:44:00,C_001714,XAUUSD,BUY,3405.47,False,False
T_0000149,2022-09-01 18:44:00,C_001712,USDJPY,SELL,4126.33,False,False
T_0000150,2022-09-01 18:45:00,C_001713,EURUSD,SELL,29177.07,False,False
T_0000151,2022-09-01 18:48:00,C_002127,EURUSD,BUY,27767.91,False,False
T_0000152,2022-09-01 18:49:00,C_001711,XAUUSD,SELL,2132.12,False,False
T_0000153,2022-09-01 18:50:00,C_001719,US100,SELL,2867.13,False,False
T_0000154,2022-09-01 18:55:00,C_000113,AUDCAD,BUY,1834.66,False,False
T_0000155,2022-09-01 18:56:00,C_001716,EURUSD,SELL,1234.09,False,False
T_0000156,2022-09-01 19:11:00,C_001513,EURUSD,BUY,6603.64,True,False
T_0000157,2022-09-01 19:20:00,C_001304,XAUUSD,BUY,2876.57,True,False
T_0000158,2022-09-01 20:00:00,C_000820,USDJPY,SELL,1527.25,False,False
T_0000159,2022-09-01 20:06:00,C_000814,BTCUSD,SELL,3775.22,False,False
T_0000160,2022-09-01 20:06:00,C_000819,BTCUSD,SELL,1685.05,False,False
T_0000161,2022-09-01 20:21:00,C_000821,XAUUSD,BUY,1454.46,False,False
T_0000162,2022-09-01 20:25:00,C_000813,GBPJPY,SELL,2364.57,False,False
T_0000163,2022-09-01 20:26:00,C_000818,BTCUSD,SELL,263316.83,False,False
T_0000164,2022-09-01 20:51:00,C_001375,XAUUSD,SELL,54898.41,False,False
T_0000165,2022-09-01 21:07:00,C_001995,GBPJPY,BUY,21.24,False,False
T_0000166,2022-09-01 21:40:00,C_001266,EURUSD,BUY,11.45,False,False
T_0000167,2022-09-01 22:32:00,C_001296,EURUSD,SELL,2480.14,False,False
T_0000168,2022-09-01 22:39:00,C_001298,XAUUSD,SELL,1137.97,False,False
T_0000169,2022-09-01 22:41:00,C_000132,XAUUSD,SELL,20758.42,False,False
T_0000170,2022-09-01 22:42:00,C_001300,US100,BUY,663.46,False,False
T_0000171,2022-09-01 22:45:00,C_001295,BTCUSD,BUY,1670.01,False,False
T_0000172,2022-09-01 22:47:00,C_001293,BTCUSD,SELL,2259.6,False,False
T_0000173,2022-09-01 22:50:00,C_001297,GBPJPY,BUY,2170.09,False,False
T_0000174,2022-09-01 22:50:00,C_001294,EURUSD,SELL,2725.45,False,False
T_0000175,2022-09-01 22:58:00,C_001299,EURUSD,BUY,2052.05,False,False
T_0000176,2022-09-01 23:51:00,C_000006,XAUUSD,BUY,5754.48,False,False
T_0000177,2022-09-02 00:02:00,C_000988,BTCUSD,SELL,21874.61,False,False
T_0000178,2022-09-02 00:19:00,C_000512,GBPJPY,BUY,129.37,False,False
T_0000179,2022-09-02 00:19:00,C_001426,USDJPY,SELL,161.11,False,False
T_0000180,2022-09-02 00:24:00,C_002112,USDJPY,SELL,30.13,False,False
T_0000181,2022-09-02 00:26:00,C_001044,USDJPY,SELL,8.42,False,False
T_0000182,2022-09-02 00:30:00,C_000678,US100,BUY,38835.99,False,False
T_0000183,2022-09-02 00:39:00,C_001651,US100,BUY,129.93,False,False
T_0000184,2022-09-02 00:43:00,C_001445,AUDCAD,SELL,151.94,False,False
T_0000185,2022-09-02 00:47:00,C_000730,XAUUSD,BUY,66374.29,False,False
T_0000186,2022-09-02 00:53:00,C_001505,XAUUSD,BUY,1235.37,False,False
T_0000187,2022-09-02 00:54:00,C_001999,BTCUSD,BUY,5062.01,False,False
T_0000188,2022-09-02 00:57:00,C_001060,XAUUSD,SELL,384.47,False,False
T_0000189,2022-09-02 00:58:00,C_001901,XAUUSD,BUY,133.1,False,False
T_0000190,2022-09-02 01:02:00,C_000885,US100,BUY,575604.3,False,False
T_0000191,2022-09-02 01:13:00,C_002046,EURUSD,SELL,149.58,False,False
T_0000192,2022-09-02 01:24:00,C_000603,EURUSD,BUY,453.49,False,False
T_0000193,2022-09-02 01:31:00,C_000414,EURUSD,SELL,14.2,False,False
T_0000194,2022-09-02 01:32:00,C_001156,XAUUSD,BUY,96680.89,True,False
T_0000195,2022-09-02 01:39:00,C_002002,XAUUSD,SELL,8117.8,False,False
T_0000196,2022-09-02 01:52:00,C_002038,BTCUSD,SELL,95.63,False,False
T_0000197,2022-09-02 01:53:00,C_001492,GBPJPY,BUY,53695.03,False,False
T_0000198,2022-09-01 12:19:04,C_000031,XAUUSD,SELL,16538.62,True,False
T_0000199,2022-09-02 01:59:00,C_002140,XAUUSD,BUY,37.73,False,False
T_0000200,2022-09-02 02:20:00,C_000729,AUDCAD,BUY,332.76,False,False
T_0000201,2022-09-02 02:36:00,C_001324,US100,SELL,513.76,False,False
T_0000202,2022-09-02 02:56:00,C_000664,XAUUSD,BUY,15305.3,True,False
T_0000203,2022-09-02 02:56:00,C_001386,US100,SELL,680.35,False,False
T_0000204,2022-09-02 03:00:00,C_000235,EURUSD,SELL,212.56,False,False
T_0000205,2022-09-02 03:05:00,C_001164,USDJPY,SELL,525.76,False,False
T_0000206,2022-09-02 03:08:00,C_000233,GBPJPY,BUY,1929.85,False,False
T_0000207,2022-09-02 03:15:00,C_001561,US100,BUY,194.64,False,False
T_0000208,2022-09-02 03:16:00,C_000239,XAUUSD,SELL,953.51,False,False
T_0000209,2022-09-02 03:19:00,C_000237,GBPJPY,BUY,2757.21,False,False
T_0000210,2022-09-02 03:24:00,C_000234,USDJPY,SELL,3951.84,False,False
T_0000211,2022-09-02 03:26:00,C_000726,AUDCAD,BUY,2517.3,True,False
T_0000212,2022-09-02 03:28:00,C_000236,EURUSD,SELL,3597.59,False,False
T_0000213,2022-09-02 03:48:00,C_001149,GBPJPY,SELL,174.69,False,False
T_0000214,2022-09-02 04:04:00,C_000782,USDJPY,SELL,11676.04,False,False
T_0000215,2022-09-02 04:06:00,C_000054,GBPJPY,SELL,1869.72,False,False
T_0000216,2022-09-02 04:19:00,C_001607,GBPJPY,SELL,99.44,False,False
T_0000217,2022-09-02 04:26:00,C_001666,BTCUSD,BUY,1426.54,False,False
T_0000218,2022-09-02 05:09:00,C_000694,XAUUSD,BUY,82.61,False,False
T_0000219,2022-09-02 05:29:00,C_000425,GBPJPY,SELL,686.91,False,False
T_0000220,2022-09-02 05:34:00,C_001450,XAUUSD,SELL,854.7,False,False
T_0000221,2022-09-02 05:39:00,C_001776,GBPJPY,SELL,55.17,False,False
T_0000222,2022-09-02 05:41:00,C_001451,AUDCAD,SELL,3898.14,False,False
T_0000223,2022-09-02 05:42:00,C_001446,XAUUSD,SELL,434.53,False,False
T_0000224,2022-09-02 05:43:00,C_001449,GBPJPY,SELL,1688.28,False,False
T_0000225,2022-09-02 05:43:00,C_001812,AUDCAD,SELL,175.11,False,False
T_0000226,2022-09-02 05:43:00,C_000027,EURUSD,BUY,8420.98,True,False
T_0000227,2022-09-02 05:47:00,C_001455,AUDCAD,BUY,3744.1,False,False
T_0000228,2022-09-02 05:48:00,C_001453,USDJPY,BUY,1270.84,False,False
T_0000229,2022-09-02 05:52:00,C_001448,USDJPY,BUY,2576.81,False,False
T_0000230,2022-09-02 05:52:00,C_000497,US100,SELL,138.49,False,False
T_0000231,2022-09-02 05:56:00,C_001452,US100,BUY,1582.83,False,False
T_0000232,2022-09-02 01:32:02,C_000917,XAUUSD,SELL,98334.38,True,False
T_0000233,2022-09-02 06:10:00,C_000212,GBPJPY,BUY,302.53,False,False
T_0000234,2022-09-02 06:17:00,C_000649,AUDCAD,SELL,241.84,False,False
T_0000235,2022-09-02 06:18:00,C_001343,USDJPY,SELL,3400.6,False,False
T_0000236,2022-09-02 06:18:00,C_002138,XAUUSD,BUY,303.72,False,False
T_0000237,2022-09-02 06:36:00,C_001986,USDJPY,BUY,72635.55,True,False
T_0000238,2022-09-02 03:26:04,C_001009,AUDCAD,SELL,2564.61,True,False
T_0000239,2022-09-02 06:44:00,C_001220,USDJPY,SELL,425.23,False,False
T_0000240,2022-09-02 07:06:00,C_001466,XAUUSD,SELL,605.03,False,False
T_0000241,2022-09-01 19:20:01,C_000564,XAUUSD,SELL,2909.26,True,False
T_0000242,2022-09-02 07:19:00,C_001237,AUDCAD,BUY,236.93,False,False
T_0000243,2022-09-01 17:25:01,C_001441,XAUUSD,SELL,8270.16,True,False
T_0000244,2022-09-02 07:33:00,C_001833,GBPJPY,BUY,742.38,False,False
T_0000245,2022-09-02 07:41:00,C_000424,GBPJPY,BUY,60.31,False,False
T_0000246,2022-09-02 07:59:00,C_000424,GBPJPY,BUY,145.77,True,False
T_0000247,2022-09-02 08:30:00,C_000850,USDJPY,SELL,2084.03,False,False
T_0000248,2022-09-02 08:30:00,C_001389,BTCUSD,SELL,99.47,False,False
T_0000249,2022-09-02 08:31:00,C_000985,USDJPY,BUY,176.73,False,False
T_0000250,2022-09-02 08:34:00,C_000860,AUDCAD,BUY,2276.86,False,False
T_0000251,2022-09-02 08:34:00,C_000864,AUDCAD,BUY,2730.99,False,False
T_0000252,2022-09-02 08:42:00,C_000856,XAUUSD,SELL,3456.72,False,False
T_0000253,2022-09-02 08:51:00,C_000855,XAUUSD,SELL,3521.73,False,False
T_0000254,2022-09-02 08:52:00,C_000863,BTCUSD,SELL,2954.24,False,False
T_0000255,2022-09-02 08:52:00,C_000854,EURUSD,SELL,1803.36,False,False
T_0000256,2022-09-02 08:58:00,C_001157,USDJPY,BUY,176.06,False,False
T_0000257,2022-09-02 09:29:00,C_001857,BTCUSD,BUY,428.32,False,False
T_0000258,2022-09-02 09:40:00,C_001232,EURUSD,BUY,140.82,False,False
T_0000259,2022-09-02 09:43:00,C_002092,BTCUSD,BUY,262.93,False,False
T_0000260,2022-09-02 06:36:03,C_002004,USDJPY,SELL,71470.26,True,False
T_0000261,2022-09-02 10:17:00,C_001131,BTCUSD,BUY,100.59,False,False
T_0000262,2022-09-02 10:24:00,C_001752,EURUSD,BUY,168.18,False,False
T_0000263,2022-09-02 10:33:00,C_001048,XAUUSD,SELL,3215.47,False,False
T_0000264,2022-09-02 10:37:00,C_000001,BTCUSD,BUY,8092.0,True,False
T_0000265,2022-09-02 10:55:00,C_002045,XAUUSD,BUY,96.33,False,False
T_0000266,2022-09-02 10:56:00,C_001464,EURUSD,BUY,40.64,False,False
T_0000267,2022-09-02 11:02:00,C_001153,USDJPY,BUY,432.66,False,False
T_0000268,2022-09-02 11:20:00,C_000506,US100,SELL,260.73,False,False
T_0000269,2022-09-02 11:25:00,C_001325,AUDCAD,BUY,401.32,False,False
T_0000270,2022-09-02 11:43:00,C_001773,XAUUSD,BUY,53.92,False,False
T_0000271,2022-09-02 11:46:00,C_001159,BTCUSD,BUY,499.24,False,False
T_0000272,2022-09-02 11:49:00,C_001685,USDJPY,SELL,186.17,False,False
T_0000273,2022-09-02 11:58:00,C_001278,USDJPY,SELL,657.02,False,False
T_0000274,2022-09-02 12:04:00,C_001975,AUDCAD,BUY,76331.72,True,False
T_0000275,2022-09-02 12:05:00,C_001477,XAUUSD,BUY,677.77,False,False
T_0000276,2022-09-02 12:07:00,C_001508,GBPJPY,BUY,571.2,False,False
T_0000277,2022-09-02 12:09:00,C_000449,XAUUSD,BUY,613.28,False,False
T_0000278,2022-09-02 12:15:00,C_000921,GBPJPY,SELL,5990.44,False,False
T_0000279,2022-09-02 12:16:00,C_001200,EURUSD,SELL,579.52,False,False
T_0000280,2022-09-02 12:16:00,C_000883,XAUUSD,SELL,26688.51,False,False
T_0000281,2022-09-02 12:47:00,C_002078,XAUUSD,BUY,499.01,False,False
T_0000282,2022-09-02 12:55:00,C_000030,GBPJPY,BUY,5073.01,False,False
T_0000283,2022-09-02 13:13:00,C_002005,USDJPY,BUY,11495.93,True,False
T_0000284,2022-09-02 13:23:00,C_000922,AUDCAD,BUY,431.49,False,False
T_0000285,2022-09-02 13:24:00,C_001834,EURUSD,SELL,133.43,False,False
T_0000286,2022-09-02 13:50:00,C_000576,EURUSD,BUY,21558.03,False,False
T_0000287,2022-09-02 13:51:00,C_000827,GBPJPY,BUY,302.57,False,False
T_0000288,2022-09-02 13:52:00,C_001777,USDJPY,SELL,176.79,False,False
T_0000289,2022-09-02 13:52:00,C_001177,EURUSD,BUY,29184.89,False,False
T_0000290,2022-09-02 13:58:00,C_000874,BTCUSD,BUY,115.22,False,False
T_0000291,2022-09-02 14:02:00,C_000340,EURUSD,BUY,374.01,False,False
T_0000292,2022-09-02 14:09:00,C_000057,GBPJPY,BUY,598256.88,False,False
T_0000293,2022-09-02 14:13:00,C_000025,EURUSD,BUY,16050.64,True,False
T_0000294,2022-09-02 14:20:00,C_001795,USDJPY,BUY,2023.74,False,False
T_0000295,2022-09-02 14:21:00,C_002090,US100,BUY,142.76,False,False
T_0000296,2022-09-02 14:25:00,C_000057,USDJPY,BUY,12571.41,False,False
T_0000297,2022-09-02 14:27:00,C_001790,XAUUSD,BUY,386.49,False,False
T_0000298,2022-09-02 14:34:00,C_000702,US100,SELL,192.07,False,False
T_0000299,2022-09-02 14:40:00,C_000784,EURUSD,BUY,5644.8,False,False
T_0000300,2022-09-02 14:52:00,C_001677,US100,SELL,158.26,False,False
T_0000301,2022-09-02 15:07:00,C_001393,XAUUSD,SELL,1053.38,False,False
T_0000302,2022-09-02 15:09:00,C_000201,US100,BUY,1048.56,False,False
T_0000303,2022-09-01 19:11:02,C_000138,EURUSD,SELL,6512.63,True,False
T_0000304,2022-09-02 15:11:00,C_001394,EURUSD,BUY,3909.79,False,False
T_0000305,2022-09-02 15:14:00,C_001395,XAUUSD,BUY,3548.11,False,False
T_0000306,2022-09-02 15:15:00,C_000687,EURUSD,BUY,29090.81,False,False
T_0000307,2022-09-02 15:17:00,C_001398,XAUUSD,BUY,2822.02,False,False
T_0000308,2022-09-02 15:17:00,C_001396,USDJPY,BUY,1532.7,False,False
T_0000309,2022-09-02 15:22:00,C_001397,AUDCAD,BUY,426.27,False,False
T_0000310,2022-09-02 15:25:00,C_001399,BTCUSD,SELL,788.85,False,False
T_0000311,2022-09-02 15:26:00,C_001392,BTCUSD,BUY,1586.16,False,False
T_0000312,2022-09-02 15:33:00,C_001264,USDJPY,SELL,122.55,False,False
T_0000313,2022-09-02 15:37:00,C_001263,EURUSD,SELL,2133.41,False,False
T_0000314,2022-09-02 15:38:00,C_001258,EURUSD,SELL,1190.24,False,False
T_0000315,2022-09-02 15:41:00,C_001262,GBPJPY,BUY,1287.29,False,False
T_0000316,2022-09-02 15:42:00,C_002091,EURUSD,SELL,126.71,False,False
T_0000317,2022-09-02 15:44:00,C_001463,GBPJPY,SELL,3354.5,False,False
T_0000318,2022-09-02 15:48:00,C_001852,EURUSD,SELL,132.94,False,False
T_0000319,2022-09-02 15:55:00,C_001265,USDJPY,BUY,792.29,False,False
T_0000320,2022-09-02 15:56:00,C_001778,XAUUSD,SELL,29.17,False,False
T_0000321,2022-09-02 15:58:00,C_001260,AUDCAD,SELL,187.01,False,False
T_0000322,2022-09-02 16:03:00,C_000875,GBPJPY,BUY,55468.66,False,False
T_0000323,2022-09-02 16:06:00,C_001796,EURUSD,BUY,44.68,False,False
T_0000324,2022-09-02 16:32:00,C_001172,BTCUSD,BUY,84.28,False,False
